Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column
NORTH TEXAS AREA COMMU,TX,ARLINGTON,$445 ,$0 ,$0 ,POINT (-97.10711 32.735594)
MERCY HOSPITAL CLERMON,OH,BATAVIA,"$8,529 ","$25,085 ",$0 ,POINT (-84.17955300000001 39.078695)
PREMIER INTERNAL MEDIC,IL,RIVERSIDE,$0 ,"$8,432 ",$0 ,POINT (-87.818956 41.826646)
Bridge Diagnostics LLC,CA,IRVINE,"$1,271,137 ","$12,800 ",$0 ,POINT (-117.824719 33.685908)
EMERGENCY PROFESSIONAL,IN,EVANSVILLE,"$8,162 ","$1,518 ",$0 ,POINT (-87.569907 37.975708)
UNIVERSITY PHYSICIANS,NJ,PASSAIC,$0 ,$951 ,$0 ,POINT (-74.12484 40.859885)
EMERGENCY MEDICINE PRO,FL,DELAND,"$39,829 ","$6,929 ",$0 ,POINT (-81.29927 29.028093)
ST MARYS PHYSICIAN SER,AR,RUSSELLVILLE,"$11,443 ","$21,908 ",$0 ,POINT (-93.133722 35.278146)
ADVANCED GENOMICS LLC,TX,SAN ANTONIO,$538 ,$0 ,$0 ,POINT (-98.494599 29.425172999999997)
REGENESIS ORGANIZATION,SC,GAFFNEY,"$1,292 ",$0 ,$0 ,POINT (-81.640962 35.058527)
VILLAGE FIRE DEPARTMEN,TX,HOUSTON,$0 ,"$3,530 ",$0 ,POINT (-95.369506 29.760803)
ST PETERSBURG GENERAL,FL,SAINT PETERSBURG,"$223,474 ","$292,288 ",$0 ,POINT (-82.638488 27.772069000000002)
I CARE NETWORK CONSULT,TX,ARLINGTON,$0 ,$287 ,$0 ,POINT (-97.10711 32.735594)
COUNTY OF TULARE HEALT,CA,VISALIA,"$3,498 ","$1,818 ",$0 ,POINT (-119.29888000000001 36.33012)
HOSPITALIST CONCEPTS C,TX,WEST LAKE HILLS,$0 ,"$1,142 ",$0 ,POINT (-97.79939 30.291741)
CAROLINA DERMATOLOGY,NC,CHARLOTTE,$9 ,"$1,551 ",$0 ,POINT (-80.840161 35.222936)
PHOENIX CHILDRENS HOSP,AZ,PHOENIX,"$1,873 ",$777 ,$0 ,POINT (-112.072585 33.448204)
EMERGENCY SERVICES OF,OK,YUKON,"$60,184 ","$13,723 ",$0 ,POINT (-97.750528 35.507932)
EXCELCARE MEDICAL ASSO,NJ,ORADELL,$963 ,"$1,444 ",$0 ,POINT (-74.031772 40.953364)
STEWARD MEDICAL GROUP,MA,WHITMAN,$0 ,$291 ,$0 ,POINT (-70.937264 42.080366)
HEALTH TEXAS PROVIDER,TX,MESQUITE,$111 ,$0 ,$0 ,POINT (-96.609069 32.774237)
COASTAL INTERNAL MEDIC,NC,WILMINGTON,"$1,125 ",$285 ,$0 ,POINT (-77.946197 34.2367)
RADIOLOGISTS OF NORTH,IA,MASON CITY,$46 ,"$2,643 ",$0 ,POINT (-93.201042 43.153621)
MEDSTAR MEDICAL GROUP,DC,WASHINGTON,$108 ,$0 ,$0 ,POINT (-77.019912 38.892062)
ER QUICKCARE PL,FL,NAPLES,"$11,144 ","$1,284 ",$0 ,POINT (-81.795483 26.147369)
SPECLTY ASSOCIATES OF,TX,CYPRESS,$0 ,$887 ,$0 ,POINT (-95.696899 29.968901)
HILLS AND DALES GENERA,MI,UBLY,$180 ,$43 ,$0 ,POINT (-82.933786 43.711518)
SPIRIT PHYSICIAN SERVI,PA,MECHANICSBURG,"$3,754 ",$0 ,$0 ,POINT (-77.008033 40.213283)
MERCY CLINIC SPRINGFIE,MO,CASSVILLE,$757 ,$0 ,$0 ,POINT (-93.868595 36.678168)
SAMARITAN LEBANON COMM,OR,LEBANON,"$9,052 ",$348 ,$0 ,POINT (-122.907067 44.538234)
HENDRICK PROVIDER NETW,TX,ABILENE,"$3,707 ",$913 ,$0 ,POINT (-99.732654 32.453562)
WEST KENDALL BAPTIST H,FL,MIAMI,"$308,220 ","$1,066,276 ",$0 ,POINT (-80.194702 25.775084)
CHERRY STREET HEALTH S,MI,GRAND RAPIDS,"$13,368 ","$6,815 ",$0 ,POINT (-85.670209 42.965446)
INDIANA UNIVERSITY HEA,IN,CARMEL,"$1,861 ",$709 ,$0 ,POINT (-86.12706700000001 39.978386)
MESA VIEW REGIONAL HOS,NV,MESQUITE,"$3,764 ","$1,766 ",$0 ,POINT (-114.063896 36.811451)
MPV NEW JERSEY MD SERV,NJ,CALDWELL,$0 ,$253 ,$0 ,POINT (-74.275006 40.838934)
NUCH OF TEXAS,TX,NEW BRAUNFELS,"$54,833 ","$1,036 ",$0 ,POINT (-98.11972500000002 29.709884000000002)
NOVANT MEDICAL GROUP,NC,THOMASVILLE,"$86,113 ","$19,526 ",$0 ,POINT (-80.081834 35.88318)
PLATTE RIVER MEDICAL C,CO,BRIGHTON,$154 ,$0 ,$0 ,POINT (-104.812604 39.986767)
BORGESS MEDICAL GROUP,MI,KALAMAZOO,$13 ,"$19,562 ",$0 ,POINT (-85.584682 42.289777)
UP SERVICES INC,NY,ELMSFORD,$0 ,"$15,761 ",$0 ,POINT (-73.816895 41.053881)
XIN PANG,NY,BROOKLYN,$0 ,$180 ,$0 ,POINT (-73.990996 40.692529)
OWASSO MEDICAL FACILIT,OK,OWASSO,"$34,637 ","$1,643 ",$0 ,POINT (-95.855 36.266086)
PINNACLE HEALTH MEDICA,PA,MIDDLETOWN,$107 ,$74 ,$0 ,POINT (-76.72901 40.19917)
IOWA PHYSICIANS CLINIC,IA,DES MOINES,$0 ,$121 ,$0 ,POINT (-93.620309 41.588822)
DWAYNE FRIDAY MD PLLC,TX,EL PASO,$0 ,"$71,698 ",$0 ,POINT (-106.492257 31.76006)
CRESCENT COMMUNITY HEA,IA,DUBUQUE,"$1,177 ","$1,361 ",$0 ,POINT (-90.667314 42.505512)
OUR LADY OF THE LAKE P,LA,BAKER,$8 ,$0 ,$0 ,POINT (-91.14968000000002 30.586863)
EINSTEIN PRACTICE PLAN,PA,PHILADELPHIA,$0 ,$10 ,$0 ,POINT (-75.16562 39.951061)
SCOTT A SASSE,CA,LOS ANGELES,$0 ,$629 ,$0 ,POINT (-118.243344 34.052238)
BAPTIST HEALTH MEDICAL,FL,MIAMI,$0 ,"$73,593 ",$0 ,POINT (-80.194702 25.775084)
ADVOCATE HEALTH AND HO,IL,PALOS HILLS,$87 ,$0 ,$0 ,POINT (-87.831846 41.703762)
SOUTHLAND EMS AT WEEMS,FL,APALACHICOLA,$794 ,$68 ,$0 ,POINT (-84.983194 29.725950999999995)
BLUFF CREEK EMER MED A,TX,EL PASO,$171 ,"$1,284 ",$0 ,POINT (-106.492257 31.76006)
JOSEPH C GATHE JR MD P,TX,HOUSTON,$0 ,"$95,235 ",$0 ,POINT (-95.369506 29.760803)
CENTRA MEDICAL GROUP,VA,CUMBERLAND,$0 ,$74 ,$0 ,POINT (-78.244896 37.496419)
OHIOHEALTH,OH,COLUMBUS,"$58,955 ","$130,809 ",$0 ,POINT (-82.996216 39.962649)
TEAMHEALTH,CT,VERNON ROCKVILLE,"$12,797 ","$2,700 ",$0 ,POINT (-72.4683 41.841599)
CAROLINAS PHYSICIANS N,NC,HUNTERSVILLE,"$1,138 ","$5,294 ",$0 ,POINT (-80.848994 35.410565)
NORTHERN ROCKIES ANEST,MT,KALISPELL,$0 ,$154 ,$0 ,POINT (-114.31346 48.197751)
CLEARFIELD HOSPITAL,PA,CLEARFIELD,"$7,772 ","$1,477 ",$0 ,POINT (-78.438063 41.02207200000001)
URGI CENTER MEDICAL GR,MA,SANDWICH,"$6,386 ",$195 ,$0 ,POINT (-70.500139 41.757724)
ALTRU HEALTH SYSTEM,MN,THIEF RIVER FALLS,$123 ,$201 ,$0 ,POINT (-96.181546 48.119141)
SOUTHWEST WOMENS HEALT,NY,HORNELL,$0 ,$252 ,$0 ,POINT (-77.661591 42.327612)
NORTHWEST COMMUNITY HE,IL,ARLINGTON HEIGHTS,$0 ,$655 ,$0 ,POINT (-87.98051 42.08296)
MINNEAPOLIS RADIOLOGY,MN,PLYMOUTH,$820 ,$494 ,$0 ,POINT (-93.473853 45.018311)
PROVIDENCE HEALTH AND,OR,HILLSBORO,$612 ,$162 ,$0 ,POINT (-122.989739 45.52395)
PEACEHEALTH MEDICAL GR,OR,EUGENE,$565 ,$0 ,$0 ,POINT (-123.091195 44.052153)
OLYMPIC MEDICAL IMAGIN,WA,BREMERTON,$32 ,$59 ,$0 ,POINT (-122.63293000000002 47.567371)
INPATIENT CONSULTANTS,MO,BLUE SPRINGS,$0 ,"$6,623 ",$0 ,POINT (-94.276029 39.0239)
PROVIDENCE MEDICAL GRO,WA,SPOKANE VALLEY,$0 ,$268 ,$0 ,POINT (-117.234275 47.67165)
ADVOCATE HEALTH AND HO,IL,GLEN ELLYN,$201 ,$0 ,$0 ,POINT (-88.066725 41.877537)
FLORIDA CLINICAL PRACT,FL,SUMMERFIELD,$47 ,$0 ,$0 ,POINT (-82.035004 29.008301000000003)
ADVANTAGECARE PHYSICAN,NY,BROOKLYN,"$5,307 ",$298 ,$0 ,POINT (-73.990996 40.692529)
MEMORIAL HERMANN HEALT,TX,HOUSTON,"$13,866 ","$1,729,659 ",$0 ,POINT (-95.369506 29.760803)
HOMETOWN HEALTH MANAGE,NV,RENO,"$1,404 ",$951 ,$0 ,POINT (-119.81328300000001 39.526903)
CHESAPEAKE RADIOLOGIST,VA,CHESAPEAKE,$19 ,$894 ,$0 ,POINT (-76.249925 36.71461)
THOREK MEMORIAL HOSPIT,IL,CHICAGO,$0 ,"$70,762 ",$0 ,POINT (-87.632398 41.88322900000001)
RADIOLOGY ASSOCIATES O,CT,HARTFORD,$0 ,$20 ,$0 ,POINT (-72.673356 41.765775)
OSHSNER CLINIC FOUNDAT,LA,GRETNA,$550 ,"$2,271 ",$0 ,POINT (-90.051566 29.912239000000003)
LEGACY EMANUEL HOSPITA,OR,SAINT HELENS,$271 ,$0 ,$0 ,POINT (-122.810196 45.861814)
STADIUM EMERGENCY ASSO,NJ,PARAMUS,"$20,418 ","$2,129 ",$0 ,POINT (-74.075269 40.951915)
SOUTHERN ARIZONA URGEN,AZ,TUCSON,"$29,448 ","$1,617 ",$0 ,POINT (-110.971225 32.221878)
CHRISTOPHER N DO MD IN,CA,SAN JOSE,"$11,587 ",$0 ,$0 ,POINT (-121.88812800000001 37.334807)
ST JOSEPH HERITAGE HEA,CA,DIAMOND BAR,$55 ,$0 ,$0 ,POINT (-117.835257 33.998135)
SABA ALAQILI DO PLLC,FL,PLANTATION,$0 ,"$35,278 ",$0 ,POINT (-80.242374 26.128276)
ST JOSEPH HERITAGE HEA,CA,EUREKA,"$1,996 ",$0 ,$0 ,POINT (-124.161309 40.786143)
FRANCISCAN MEDICAL GRO,WA,TACOMA,$47 ,"$12,841 ",$0 ,POINT (-122.44153000000001 47.25308)
LONGHORN EMERGENCY MED,TX,BASTROP,"$10,481 ","$4,766 ",$0 ,POINT (-97.308858 30.117051000000004)
POCONO MOUNTAIN REGION,PA,TOBYHANNA,$0 ,$562 ,$0 ,POINT (-75.520888 41.111329)
LANDER MEDICAL CLINIC,ME,BELFAST,$194 ,$64 ,$0 ,POINT (-69.007424 44.425496)
VITAE HEALTH OF ILLINO,IL,HIGHLAND PARK,$0 ,"$1,557 ",$0 ,POINT (-87.80210800000002 42.184679)
LAB TEST LLC,MO,SAINT LOUIS,"$202,761 ","$3,012 ",$0 ,POINT (-90.200309 38.630276)
NORTH REGIONAL INFECTI,TX,MESQUITE,$0 ,"$2,248 ",$0 ,POINT (-96.609069 32.774237)
MEMORIAL HOSPITAL OF T,FL,TAMPA,"$77,767 ","$34,684 ",$0 ,POINT (-82.458776 27.947423)
PROVIDENCE SPOKANE HEA,ID,LEWISTON,$0 ,$37 ,$0 ,POINT (-117.019012 46.419101)
LIFE HOPE LABS LLC,GA,ATLANTA,"$158,626 ",$100 ,$0 ,POINT (-84.391502 33.748547)
DLP CONEMAUGH MINERS M,PA,HASTINGS,"$1,872 ",$0 ,$0 ,POINT (-78.711233 40.668134)
SOUTHERN ILLINOIS HOSP,IL,MURPHYSBORO,$0 ,"$1,151 ",$0 ,POINT (-89.33595800000002 37.764296)
KINGS PHYSICIAN SERVIC,NY,NEW YORK,$0 ,$414 ,$0 ,POINT (-74.007228 40.713054)
EMERGENCY MEDICINE OF,IN,ANGOLA,$229 ,$0 ,$0 ,POINT (-85.004 41.63478)
DR SERGIO ZAMORA PA,TX,EAGLE PASS,$146 ,"$8,829 ",$0 ,POINT (-100.500457 28.706045)
CHW MEDICAL FOUNDATION,CA,SACRAMENTO,$0 ,"$2,175 ",$0 ,POINT (-121.50012 38.582087)
UNIVERSITY PRIMARY CAR,OH,PARMA,$34 ,$9 ,$0 ,POINT (-81.734664 41.384498)
WESTHEALTH SURGERY CEN,MN,MAPLE GROVE,"$1,724 ",$291 ,$0 ,POINT (-93.444535 45.098123)
CLEVELAND CLINIC,OH,MADISON,$22 ,$174 ,$0 ,POINT (-81.04979 41.771218)
MCLEOD LORIS SEACOAST,SC,LITTLE RIVER,"$159,028 ","$242,960 ",$0 ,POINT (-78.626569 33.870387)
PRIMARY CARE PROVIDERS,LA,CLINTON,"$67,534 ","$10,497 ",$0 ,POINT (-91.01782 30.865727)
PRIME HEALTHCARE ANAHE,CA,ANAHEIM,"$28,451 ","$28,995 ",$0 ,POINT (-117.915638 33.834492)
NUCH OF TEXAS,TX,ROWLETT,"$45,242 ","$4,121 ",$0 ,POINT (-96.569287 32.902706)
SANFORD CLINIC NORTH,MN,NEW YORK MILLS,$871 ,$148 ,$0 ,POINT (-95.374576 46.52073800000001)
SPECTRA EAST,NJ,ROCKLEIGH,"$8,391 ","$19,484 ",$0 ,POINT (-73.92993 41.00443)
P4 CLINICAL LLC,NJ,PINE BROOK,"$3,616,019 ","$91,621 ",$0 ,POINT (-74.340797 40.860298)
MERCY HOSPITAL LOGAN C,OK,EL RENO,$0 ,$71 ,$0 ,POINT (-97.948135 35.534142)
LIFECARE HOSPITALS OF,TX,PLANO,$0 ,"$134,865 ",$0 ,POINT (-96.697586 33.019695)
ISLAND MEDICAL HOSPITA,NM,CARLSBAD,$0 ,"$10,409 ",$0 ,POINT (-104.227819 32.412716)
SUSSEX EMERGENCY ASSOC,DE,LEWES,"$13,444 ","$2,525 ",$0 ,POINT (-75.140683 38.772886)
NOVANT HEALTH FORSYTH,NC,KERNERSVILLE,"$1,937 ","$1,052 ",$0 ,POINT (-80.074659 36.120257)
ALTRU SPECIALTY SERVIC,MN,CROOKSTON,$0 ,$250 ,$0 ,POINT (-96.606834 47.773789)
NORTH BROWARD RADIOLOG,FL,FORT LAUDERDALE,"$3,451 ","$3,928 ",$0 ,POINT (-80.143586 26.124163)
APP OF SOUTH CAROLINA,SC,GAFFNEY,"$9,156 ","$1,216 ",$0 ,POINT (-81.640962 35.058527)
ADVOCATE HEALTH AND HO,IL,YORKVILLE,$111 ,$0 ,$0 ,POINT (-88.446922 41.641357)
NOVANT MEDICAL GROUP,NC,HARRISBURG,$96 ,$191 ,$0 ,POINT (-80.661737 35.323609)
SSM MEDICAL GROUP INC,MO,BRIDGETON,$411 ,"$1,545 ",$0 ,POINT (-90.42041 38.755927)
PALMS MEDICAL GROUP,FL,BRANFORD,$75 ,$0 ,$0 ,POINT (-82.926183 29.962512000000004)
WOODLANDS COMMUNITY HO,TX,THE WOODLANDS,"$15,568 ","$11,134 ",$0 ,POINT (-95.484612 30.182039000000003)
SINGLETON ASSOCIATES P,TX,PASADENA,$10 ,$624 ,$0 ,POINT (-95.193333 29.693379)
SYRACUSE COMMUNITY HEA,NY,SYRACUSE,"$95,549 ",$44 ,$0 ,POINT (-76.147448 43.047945)
MEMORIAL HERMANN HOSPI,TX,HUMBLE,"$55,435 ","$26,344 ",$0 ,POINT (-95.261315 29.999021999999997)
UNITYPOINT HEALTH MARS,IA,TOLEDO,$114 ,$0 ,$0 ,POINT (-92.581705 41.990908)
MEDICAL ASSOCIATES OF,NJ,WOODLAND PARK,$621 ,"$4,753 ",$0 ,POINT (-74.192841 40.889065)
NORTHWEST PHYSICIANS L,AR,FAYETTEVILLE,"$2,800 ",$824 ,$0 ,POINT (-94.16058300000002 36.061928)
LIFESPAN PHYSICIANS GR,MA,ATTLEBORO,$0 ,$36 ,$0 ,POINT (-71.284088 41.944543)
TRINITY HEALTH OF NEW,CT,WEST HARTFORD,$140 ,$362 ,$0 ,POINT (-72.741807 41.762008)
CRYSTAL RUN HEALTHCARE,NY,GOSHEN,$253 ,$0 ,$0 ,POINT (-74.324105 41.40219)
OSU OTOLARYNGOLOGY HEA,OH,GAHANNA,$0 ,$19 ,$0 ,POINT (-82.874702 40.024462)
SOUTHWEST VA COMM HEAL,VA,SALTVILLE,"$8,238 ",$0 ,$0 ,POINT (-81.762257 36.881503)
UMC EC PHYSICIANS,TX,LUBBOCK,$0 ,"$68,323 ",$0 ,POINT (-101.855113 33.583578)
CONCORD LIFE SCIENCES,TX,HOUSTON,"$9,300 ",$0 ,$0 ,POINT (-95.369506 29.760803)
ALBUQUERQUE NEPHROLOGY,NM,ALBUQUERQUE,$0 ,$418 ,$0 ,POINT (-106.649241 35.084248)
MCKAY HEALTH CARE LLC,TX,HUMBLE,"$4,445 ",$0 ,$0 ,POINT (-95.261315 29.999021999999997)
MASSACHUSETTS GENERAL,MA,BOSTON,"$380,499 ","$1,601,910 ",$0 ,POINT (-71.056742 42.358894)
COLUMBIA HEALTHCARE OF,VA,NORTH CHESTERFIELD,$0 ,"$3,277 ",$0 ,POINT (-78.636902 37.940601)
PHYSICIANS LINK CENTER,OH,AMHERST,"$18,443 ","$10,754 ",$0 ,POINT (-82.226842 41.398534)
EL RIO COMMUNITY HEALT,AZ,TUCSON,$0 ,"$9,435 ",$0 ,POINT (-110.971225 32.221878)
MAGNOLIA REGIONAL MEDI,AR,MAGNOLIA,"$3,678 ","$2,356 ",$0 ,POINT (-93.232869 33.272642)
6 PALO ALTO MEDICAL FO,CA,SANTA ROSA,$200 ,$277 ,$0 ,POINT (-122.71564199999999 38.439698)
NEUROLOGY ASSOCIATES O,NY,EAST SETAUKET,$0 ,$532 ,$0 ,POINT (-73.1064 40.941399)
EMERGENCY MEDICINE PRO,FL,ORMOND BEACH,"$4,398 ",$431 ,$0 ,POINT (-81.098428 29.319025)
PINNACLE HEALTH HOSPIT,PA,HARRISBURG,$0 ,"$10,382 ",$0 ,POINT (-76.881821 40.259572)
HUNT NURSING HOME,MA,DANVERS,$0 ,"$29,445 ",$0 ,POINT (-70.935673 42.565456000000005)
MIDWEST EMERGENCY SPAR,IL,SPARTA,"$3,486 ",$0 ,$0 ,POINT (-89.701917 38.124023)
METROPLEX CARE GROUP,TX,FORT WORTH,$116 ,$0 ,$0 ,POINT (-97.340038 32.739977)
ABBOTT NORTHWESTERN HO,MN,ELK RIVER,"$6,743 ","$2,100 ",$0 ,POINT (-93.57741 45.307777)
LEWIS GALE PHYSICIANS,VA,CHRISTIANSBURG,$151 ,$0 ,$0 ,POINT (-80.401951 37.141026)
JEFFERSON UNIVERSITY P,PA,NORRISTOWN,$0 ,$136 ,$0 ,POINT (-75.333718 40.123164)
BANNER HOSPITAL BASED,AZ,MESA,$0 ,"$13,224 ",$0 ,POINT (-111.831498 33.41514)
MEDSTAR FRANKLIN SQUAR,MD,ROSEDALE,"$154,416 ","$436,518 ",$0 ,POINT (-76.516159 39.320998)
MEMORIAL HEALTHCARE SY,FL,MIRAMAR,"$14,268 ","$60,098 ",$0 ,POINT (-80.301479 25.985256)
BROWNE MEDICAL LLC DBA,NJ,WEST ORANGE,$146 ,$0 ,$0 ,POINT (-74.26974500000001 40.792503)
PEYMAN YOUNESI MD PLLC,NY,FAR ROCKAWAY,$0 ,"$12,351 ",$0 ,POINT (-73.7556 40.605301)
MATRIX OCCUPATIONAL HE,NC,CARY,"$933,425 ","$106,175 ",$0 ,POINT (-78.781139 35.791444)
ST LUKES PHYSICIAN GRO,PA,COALDALE,"$2,156 ","$2,637 ",$0 ,POINT (-78.216911 40.16723)
RJ MEDICAL AND URGENT,NY,BROOKLYN,"$1,331,764 ",$55 ,$0 ,POINT (-73.990996 40.692529)
KEYSTONE MEDICAL SERVI,NY,LOCKPORT,$291 ,$0 ,$0 ,POINT (-78.696849 43.168861)
MERCY HOSPITAL WALDRON,AR,WALDRON,"$16,413 ","$3,877 ",$0 ,POINT (-94.090987 34.896384)
BELLEVUE HOSPITAL CENT,NY,JACKSON HEIGHTS,"$1,232 ",$51 ,$0 ,POINT (-73.7453 42.016701)
MEDTRANS CORPORATION,CO,AKRON,$0 ,"$11,175 ",$0 ,POINT (-103.208653 40.159143)
MCKENZIE HEALTH SYSTEM,MI,SANDUSKY,$783 ,"$2,890 ",$0 ,POINT (-82.830238 43.421266)
WHC PHYSICIAN GROUP LL,MD,BALTIMORE,"$5,766 ","$6,275 ",$0 ,POINT (-76.612333 39.290443)
NCH MD INC,FL,BONITA SPRINGS,$0 ,$244 ,$0 ,POINT (-81.779077 26.345625)
PRESBYTERIAN HOME HEAL,NM,RIO RANCHO,"$120,477 ","$379,079 ",$0 ,POINT (-106.677074 35.307106)
NEW YORK UNIVERSITY,NY,NEW YORK,"$2,236 ","$29,561 ",$0 ,POINT (-74.007228 40.713054)
CAROLINAS MEDICAL CENT,NC,CHARLOTTE,"$468,494 ","$467,083 ",$0 ,POINT (-80.840161 35.222936)
GRAND AVENUE EMERGENCY,CA,BAKERSFIELD,"$5,590 ","$2,598 ",$0 ,POINT (-119.01891099999999 35.373405)
FRIX JENNINGS CLINIC,TN,HENDERSON,$555 ,$36 ,$0 ,POINT (-88.638838 35.440915)
GOLDEN STATE PROVIDERS,CA,SAN JOSE,$0 ,"$12,916 ",$0 ,POINT (-121.88812800000001 37.334807)
COMPASS HEALTHCARE PLC,MI,EAST LANSING,$0 ,$137 ,$0 ,POINT (-84.482761 42.781472)
THE FAMILY CLINIC OF C,LA,CROWLEY,$665 ,$293 ,$0 ,POINT (-92.381228 30.211225999999996)
QURESHI AL OWIR DBA NE,NV,HENDERSON,$0 ,"$1,690 ",$0 ,POINT (-114.98445500000001 36.034095)
ASSOCIATED PHYSICIANS,WI,MADISON,$100 ,$0 ,$0 ,POINT (-89.385244 43.073926)
NHAN HOA COMPREHENSIVE,CA,GARDEN GROVE,"$5,492 ",$0 ,$0 ,POINT (-117.937878 33.776069)
PUBLIC HEALTH SEATTLE,WA,BURIEN,$721 ,$0 ,$0 ,POINT (-122.34722 47.466748)
PROVIDENCE MEDICAL GRO,WA,SPOKANE,"$3,866 ","$2,059 ",$0 ,POINT (-117.42502200000001 47.658999)
VIRTUAL RADIOLOGIC PRO,IA,NEWTON,$0 ,$9 ,$0 ,POINT (-93.043472 41.69558)
FAMILY MEDICAL AND URG,GA,MCDONOUGH,"$13,612 ",$983 ,$0 ,POINT (-84.146395 33.447)
AVERA QUEEN OF PEACE,MN,MINNEAPOLIS,$179 ,$0 ,$0 ,POINT (-93.264346 44.977479)
LRMC,WV,LOGAN,"$4,563 ","$15,631 ",$0 ,POINT (-81.989308 37.846008)
PROMEDICA COLDWATER RE,MI,COLDWATER,"$45,464 ","$46,244 ",$0 ,POINT (-85.00072100000001 41.940611)
NATIONAL MEDICAL PROFE,TX,FLOWER MOUND,$427 ,$65 ,$0 ,POINT (-97.079639 33.034065)
MULTICARE HEALTH SYSTE,WA,GIG HARBOR,$66 ,$0 ,$0 ,POINT (-122.587523 47.327772)
SWEDISH AMERICAN HOSPI,IL,ROCKFORD,"$3,448 ",$258 ,$0 ,POINT (-89.088377 42.266802)
EXPRESS CARE WA LLC,OR,PORTLAND,"$1,422 ",$51 ,$0 ,POINT (-122.68142500000002 45.516018)
24 ON PHYSICIANS PC,PA,LANGHORNE,$0 ,"$2,612 ",$0 ,POINT (-74.917008 40.176768)
ST LUKES PHYSICIAN GRO,PA,HELLERTOWN,$260 ,$132 ,$0 ,POINT (-75.340825 40.579206)
CONCORD MEDICAL GROUP,TN,ERIN,"$1,304 ",$0 ,$0 ,POINT (-87.70302100000002 36.316165)
AHN WESTMORELAND PRIMA,PA,LEECHBURG,$51 ,$0 ,$0 ,POINT (-79.60681600000001 40.629192)
SUNRISE MEDICAL LABORA,NY,HICKSVILLE,"$7,821,183 ","$668,595 ",$0 ,POINT (-73.523788 40.76296)
DES MOINES PHYSICIANS,IA,NEWTON,"$40,742 ","$8,557 ",$0 ,POINT (-93.043472 41.69558)
ESS OF WEST TEXAS LLC,OK,OKLAHOMA CITY,"$1,588 ","$2,072 ",$0 ,POINT (-97.521264 35.468494)
WELLSPAN MEDICAL GROUP,PA,GETTYSBURG,"$4,131 ","$1,508 ",$0 ,POINT (-77.233328 39.830906)
SOUTHWEST GEORGIA HEAL,GA,ROBERTA,$118 ,$0 ,$0 ,POINT (-84.009632 32.719812000000005)
UNIVERSITY OF KANSAS H,KS,KANSAS CITY,"$277,125 ","$1,930,851 ",$0 ,POINT (-94.626804 39.1127)
SCENIC MOUNTAIN MEDICA,TX,KATY,$0 ,"$2,784 ",$0 ,POINT (-95.816531 29.794856999999997)
BANNER PHYSICIAN SPECI,AZ,MESA,$0 ,$414 ,$0 ,POINT (-111.831498 33.41514)
GEORGIA EMERGENCY GROU,GA,GRIFFIN,$578 ,$0 ,$0 ,POINT (-84.263911 33.244437)
NYPMG HUDSON VALLEY,NY,SLEEPY HOLLOW,$61 ,$151 ,$0 ,POINT (-73.862459 41.092455)
ROBERT WOOD JOHNSON ME,NJ,NEW BRUNSWICK,$0 ,"$14,788 ",$0 ,POINT (-74.444139 40.495921)
SALINE CLINICS LLC,AR,BENTON,$0 ,"$3,579 ",$0 ,POINT (-92.585398 34.569286)
EMERGENCY PROFESSIONAL,MI,OWOSSO,"$41,368 ","$16,626 ",$0 ,POINT (-84.17063300000001 42.998485)
IEPPC URGENT CARE PLLC,MI,SOUTHFIELD,"$17,606 ","$2,437 ",$0 ,POINT (-83.240756 42.477952)
VIRTUA MEDICAL GROUP,NJ,MAPLE SHADE,$0 ,$55 ,$0 ,POINT (-75.001863 39.955381)
RADY CHILDRENS HOSPITA,CA,MURRIETA,$395 ,$232 ,$0 ,POINT (-117.220777 33.559752)
WRIGHT STATE PHYSICIAN,OH,BEAVERCREEK,$0 ,$123 ,$0 ,POINT (-84.065876 39.73277)
AURORA MEDICAL GROUP,WI,GRAFTON,$517 ,"$11,339 ",$0 ,POINT (-87.9518 43.321572)
REEDLEY COMMUNITY HOSP,CA,OROSI,$51 ,$53 ,$0 ,POINT (-119.28685500000002 36.543689)
RADIOLOGY MEDICAL GROU,CA,NAPA,$192 ,$355 ,$0 ,POINT (-122.28940500000002 38.297242000000004)
RIDGEVIEW MEDICAL CENT,MN,HOWARD LAKE,$231 ,$94 ,$0 ,POINT (-94.073752 45.060728)
WEST GEORGIA INFECTIOU,GA,AUSTELL,$0 ,"$1,713 ",$0 ,POINT (-84.63473 33.813161)
GOSHEN MEDICAL CENTER,NC,JACKSONVILLE,"$8,756 ",$0 ,$0 ,POINT (-77.422005 34.749428)
ANDERSON HOSPITAL,IL,MARYVILLE,"$21,437 ","$82,557 ",$0 ,POINT (-89.956563 38.726038)
COVENANT CLINIC,IA,GLADBROOK,$60 ,$0 ,$0 ,POINT (-92.708786 42.184179)
PROMEDICA MONROE PHYSI,MI,MONROE,$0 ,$769 ,$0 ,POINT (-83.397536 41.916455)
WEST COAST CRITICAL CA,CA,OXNARD,$0 ,"$2,666 ",$0 ,POINT (-119.175947 34.197663)
AIR EVAC EMS INC,MO,WEST PLAINS,$0 ,"$650,203 ",$0 ,POINT (-91.852504 36.731121)
DIGNITY HEALTH MEDICAL,CA,REDDING,$67 ,$80 ,$0 ,POINT (-122.38109 40.574637)
